timestamp,sample_id,qubit_count,gate_operations,quantum_fidelity,coherence_time,error_rate,measurement_acc,domain_adapt_score,core_factor,stability
2026-01-01 00:00:00,Q_2_0001,2,10,0.923,85.2,0.008,0.985,0.892,0.875,0.821
2026-01-01 00:01:00,Q_4_0002,4,25,0.887,62.5,0.015,0.972,0.856,0.823,0.785
2026-01-01 00:02:00,Q_8_0003,8,40,0.851,45.8,0.022,0.958,0.812,0.791,0.753
2026-01-01 00:03:00,Q_16_0004,16,80,0.789,22.3,0.038,0.921,0.765,0.745,0.712
2026-01-01 00:04:00,Q_2_0005,2,15,0.945,92.1,0.005,0.990,0.915,0.892,0.843
2026-01-01 00:05:00,Q_4_0006,4,30,0.902,71.3,0.012,0.978,0.873,0.845,0.801
2026-01-01 00:06:00,Q_8_0007,8,50,0.864,52.7,0.019,0.963,0.831,0.805,0.768
2026-01-01 00:07:00,Q_16_0008,16,90,0.765,18.5,0.042,0.910,0.742,0.723,0.695
2026-01-01 00:08:00,Q_2_0009,2,20,0.931,88.7,0.007,0.988,0.901,0.881,0.832
2026-01-01 00:09:00,Q_4_0010,4,35,0.895,68.2,0.013,0.975,0.864,0.832,0.792
